Window,Active_States,ESS
169,3,9.410931035740099
170,3,13.828678138482324
171,2,16.59428845890452
172,3,18.525954500454514
173,3,18.033341661097086
174,3,22.241234782454807
175,3,60.84213303269089
176,3,45.30668380326083
177,3,60.17735101345934
178,3,70.50103630989467
179,3,67.13527604320844
180,3,73.5303531138612
181,3,81.36815710528397
182,3,100.58141003204658
183,3,102.62512326395516
184,3,102.8075120094432
185,3,98.65709813597273
186,3,34.343516657073245
187,3,27.409059949554067
188,3,120.27071702888372
189,3,124.13573453935
190,3,87.95743764171819
191,3,110.04872295481853
192,3,113.92013331385498
193,3,106.70805675133478
194,3,109.96086920116869
195,3,148.714172273597
196,3,114.86043413013459
197,3,141.30743377042538
198,3,108.05432754252583
199,3,125.26796751588256
200,3,98.25083619911936
201,3,42.96478994226131
202,3,20.625028583614878
203,3,37.77993676406118
204,3,93.70738456792218
205,3,129.80070502091738
206,3,124.51149943608753
207,3,131.44862952856312
208,3,105.96114261825859
209,3,158.13989752249378
210,3,74.41342167585817
211,3,115.69282121340996
212,3,151.97615957739166
213,3,130.75950589810353
214,3,104.84474219738081
215,3,146.92990702500188
216,3,153.9136331123607
217,3,66.7844585815494
218,3,91.44516749632048
219,3,48.030480300219835
220,3,69.1398691721594
221,3,75.72357882484543
222,3,165.11069311800927
223,3,138.56491088982736
224,3,90.1415589618228
225,3,152.07267550396406
226,3,183.30638711237194
227,2,137.81621903436226
228,2,216.56514383081546
229,2,209.9507780206723
230,2,70.16217808611367
231,2,183.726740354206
232,2,165.18123866797333
233,2,192.65087638145425
234,2,70.30417384250892
235,2,115.34576752330247
236,2,113.91552626437726
237,2,120.27652594879319
238,2,109.05889182774278
239,2,245.33024307591907
240,2,199.01972834112087
241,2,85.4849149735082
242,2,229.96038534652567
243,2,199.21129625935856
244,2,253.43434938799263
245,2,264.3560470010431
246,2,200.1386184768886
247,2,52.28302398422653
248,2,9.418562679037336
249,2,8.276782946813537
250,2,33.61875615483419
251,2,247.26376829580968
252,2,250.68486813318157
253,2,52.36873827932875
254,2,35.363346294488196
255,2,131.17495710738436
256,2,191.49285450786869
257,2,219.86037620690672
258,2,243.43171647447295
259,2,263.48235233784874
260,2,155.89487720981674
261,3,99.12854872531649
262,3,144.8791553276178
263,3,20.48341365045076
264,2,171.19167468636945
265,2,106.55336866567305
266,2,86.18217085091496
267,3,49.20653566631285
268,3,134.00588468642286
269,3,34.58069502968964
270,3,36.553875347450294
271,3,78.05094491300913
272,3,40.05405968935193
273,3,117.97739762275438
274,3,39.87883428512984
275,3,47.41865918770188
276,3,122.54031541269212
277,3,50.76750374760593
278,3,15.666839851700537
279,3,42.34251063825825
280,3,22.67539973316289
281,3,41.9064349482168
282,3,161.27245646342686
283,3,139.26983290310537
284,3,122.20261011192338
285,3,126.08584733096444
286,3,79.5235967097181
287,3,30.92708971328112
288,3,27.890843799084223
289,3,31.833526429739777
290,4,75.10283720113726
291,3,135.48348313346455
292,3,135.97439020136866
293,3,37.848788506406976
294,3,88.49370293024676
295,3,167.6684331220059
296,3,69.53445010411613
297,3,99.47094051923114
298,3,49.95932350608891
299,3,139.66138854932115
300,3,137.5597797616445
301,3,141.33004570669942
302,3,96.65490833960702
303,2,3.6040983056304463
304,2,2.182196450173535
305,2,10.824854993058304
306,3,7.584644264277642
307,3,26.06010470361771
308,3,20.342988104510507
309,3,15.27222786668584
310,2,20.689761473986238
311,2,28.78577226359563
312,3,30.794012371505037
313,3,35.031125960208165
314,3,41.09888008184998
315,2,67.63348859898497
316,2,167.57940784730502
317,2,97.79807940613682
318,2,102.42187020103356
319,2,157.70685892468484
320,2,159.42190368797938
321,2,154.88423897772478
322,2,155.41244120663788
323,2,162.2241063689445
324,3,88.19389467099171
325,3,114.69320333801954
326,3,45.15472668842215
327,2,43.02792062505438
328,2,144.67205272034934
329,3,15.797125900650684
330,3,39.975046772064694
331,3,17.537352903266797
332,2,148.1352034635983
333,3,60.55403134596589
334,3,20.66444503979418
335,3,46.81247669749445
336,3,73.92552100588604
337,3,102.9257430241919
338,3,110.41142108766024
339,3,47.72842174498175
340,3,102.27410703678576
341,3,81.5176029069578
342,3,109.02341265547665
343,3,81.43946419222722
344,2,188.43209761309538
345,2,92.94961827316874
346,3,58.72761592670401
347,2,69.4354657814931
348,2,85.39113404373563
349,2,108.05534138711188
350,2,154.4841893842257
351,2,156.3169613740877
352,2,199.7240404979754
353,2,100.39339627446805
354,2,172.49554190114003
355,2,117.46238163379337
356,3,90.87292033698598
357,3,137.93522409885227
358,2,131.56910083009817
359,3,121.63097127961983
360,3,116.28319544134918
361,2,88.87191977539737
362,3,79.07980891906548
363,2,53.76411194918858
364,4,74.0169077706042
365,3,129.6546996086389
366,3,121.99801732275404
367,7,72.57624054788876
368,6,79.77009312876753
369,7,68.67800876938567
370,5,66.08170167167832
371,5,85.80652723769268
372,7,70.61230684872132
373,7,72.40670033976714
374,7,57.998335255817615
375,5,55.07022919490985
376,7,78.25489043714529
377,4,105.0645033910537
