Date,1/N_Ret,1/N_TO,MinVar_Ret,MinVar_TO,NominalCVaR_Ret,NominalCVaR_TO,FiniteRegime_Ret,FiniteRegime_TO,RobustSIP_Ret,RobustSIP_TO
1995-11-24,0.03670187995524221,0.01516635875964088,0.03436556583895329,0.3610457245350396,0.0336346102889492,0.26240757979335005,0.032598787217923426,0.32173787189692804,0.03780081352119536,0.7059548572434455
1995-12-26,0.01831649284446643,0.008371718256101307,0.033212507113154655,0.32591255162811517,0.03596748078564452,0.2309233964003794,0.029276008634442567,0.1416287853519607,0.020545306403790452,0.2473330330813674
1996-01-25,0.0071835517893227745,0.011678606315855296,0.015919136280796102,0.03653910666024415,0.018587176680909635,0.05377925953315746,0.017452272997456282,0.13532776530172144,0.0091038399925358,0.02668630711192166
1996-02-26,0.05340612218354185,0.010672365771289428,0.039411157634333574,0.1381651166726223,0.03562194091784323,0.15546512623885494,0.033921231651138646,0.21541787172035026,0.03542278830299184,0.1546607518985162
1996-03-26,0.018207008440246752,0.009792602920389762,0.014735908367175627,0.04869516554918839,0.01822230262520042,0.13024216239476255,0.008867096425843277,0.06163006364888965,0.013739740621861979,0.09686105010778272
1996-04-25,0.012299225726384163,0.014244149381706038,-0.0012915425057649416,0.052096342832130216,-0.0035844038586749574,0.16407203712340956,0.004340298314798474,0.338616004065218,-0.0006001325668484848,0.3714231619446584
1996-05-24,0.04616922715155003,0.012490407887865599,0.041075410623714365,0.05531707435576864,0.04347621558180908,0.1656232660425896,0.03543651162874124,0.17140428006350755,0.045338556975178704,0.2909169906144924
1996-06-25,-0.016747638979284152,0.010562372492130837,-0.021634925291380603,0.031358084087097324,-0.01758879947357775,0.04341064903215553,-0.02711878148175932,0.15246106613935068,-0.01485928133045419,0.26961637618624534
1996-07-25,-0.06827042808073458,0.012499962202869426,-0.05566275938413214,0.03434189556386172,-0.05748025811311363,0.09705521440993711,-0.05092450240557267,0.15453881426275165,-0.06653420538583345,0.035809694034836026
1996-08-23,0.05612723703652444,0.010737701664714877,0.05042070379942096,0.0929087971298949,0.053068304386389875,0.22786806440400234,0.050076486965037074,0.21181858859476807,0.05678021565831588,0.5535262768117503
1996-09-24,0.030448887387987716,0.010382804025951368,0.020134381094719697,0.03201202717413671,0.01857690064554741,0.0537148567016811,0.02487911210301464,0.1530833352391068,0.016902820773857317,0.1608313307794672
1996-10-23,0.016731771188588953,0.01075562277050814,0.01962521468445009,0.05749843949778164,0.012952810607272429,0.12949565477710814,0.021144287291398806,0.07930040643292068,0.025732881170957966,0.07259665529289927
1996-11-21,0.03788232750519666,0.010569839181954532,0.038760924484913924,0.03487763997916486,0.0432861114899373,0.10704592449398177,0.04748593182887815,0.11229031603168138,0.046796705458168476,0.0681383386535115
1996-12-23,0.0058540997722175405,0.008985660017030632,0.003319869736354832,0.04223635229489804,0.004907003612980552,0.08070950862440096,0.005719240775878151,0.1412494899502042,0.003156196047286061,0.05467161598532764
1997-01-23,0.04365540274350464,0.010726504044228178,0.02691342871162538,0.06584856065362071,0.029975787248800317,0.21250322140278824,0.027950198644948267,0.23745277393808328,0.029371414055696238,0.04728728844624701
1997-02-25,0.028151096712002895,0.010548711244722828,0.02596076979719518,0.042923545512067535,0.03202262593299282,0.18386408989207417,0.034561522379113294,0.016454367830777212,0.047123686379422436,0.11055550694383079
1997-03-26,-0.023062252690667417,0.01596763451072889,-0.014996570942245937,0.07865617604585604,-0.011156229749305139,0.12788465856811546,-0.011226559314955616,0.10603461629985117,-0.0289681973684675,0.06918991279385883
1997-04-25,-0.0336021192313612,0.013693899937165353,-0.05457019216679625,0.0668639142008399,-0.05181914140179143,0.123465237438989,-0.0514775610283364,0.03278091020004157,-0.0384997301766771,0.1361039271097504
1997-05-27,0.09768119225203563,0.013143805922662701,0.07918684501117929,0.10207512657650969,0.07827511675306922,0.13506515823378093,0.08246971099403204,0.18693854301572105,0.07426776334717772,0.23454374386605167
1997-06-25,0.035638191681293785,0.011936379022527905,0.037228690489926164,0.046942259089633454,0.027474524972036493,0.1373007627747524,0.03236335011832219,0.012844274203398948,0.03462104484559704,0.028944583460904384
1997-07-25,0.049773815057283975,0.012071616989332162,0.04160303088553242,0.05415000932095803,0.044577774953277846,0.16463231766474,0.04051741406474463,0.06401683159351568,0.04354245423051081,0.18173888040898323
