Window,GridDim,Dense_Obj,Adaptive_Obj,Weights_L1_Diff,Dense_Time,Adaptive_Time,Dense_Vars,Dense_Constrs,Adaptive_Master_Blocks
6511,11,0.0862303630923156,0.0862303630923156,7.28583859910259e-17,4.923263416,0.161417334,152612,152583,3
6511,21,0.0862303630923156,0.0862303630923156,5.551115123125783e-17,20.962661,0.2003205,556132,556103,3
6511,31,0.0862303630923156,0.0862303630923156,7.28583859910259e-17,68.164612833,0.27225275,1211852,1211823,3
6658,11,0.08703680900581384,0.08703680900581384,2.5587171270657905e-16,5.321515875,0.177724917,152612,152583,3
6658,21,0.08703680900581386,0.08703680900581384,2.5587171270657905e-16,26.453222875,0.219328291,556132,556103,3
6658,31,0.08703680900581386,0.08703680900581384,0.0,86.897914667,0.283363542,1211852,1211823,3
6931,11,0.0868393757373106,0.0868393757373106,9.71445146547012e-17,5.730511417,0.148820667,152612,152583,3
6931,21,0.0868393757373106,0.0868393757373106,9.71445146547012e-17,29.385788375,0.217746917,556132,556103,3
6931,31,0.0868393757373106,0.0868393757373106,9.71445146547012e-17,93.213841292,0.22390025,1211852,1211823,3
6994,11,0.08691705476680583,0.08691705476680583,0.0,4.999935583,0.155898375,152612,152583,3
6994,21,0.08691705476680585,0.08691705476680583,0.0,24.143881666,0.215108459,556132,556103,3
6994,31,0.08691705476680585,0.08691705476680583,0.0,80.9016675,0.241856,1211852,1211823,3
7078,11,0.08725357151048443,0.08725357151048443,0.0,5.393519292,0.155782875,152612,152583,3
7078,21,0.08725357151048443,0.08725357151048445,1.734723475976807e-16,25.393331208,0.232889042,556132,556103,3
7078,31,0.08725357151048443,0.08725357151048445,2.42861286636753e-16,81.449181917,0.278109,1211852,1211823,3
7498,11,0.0877706115664279,0.0877706115664279,0.0,5.096179,0.172253416,152612,152583,3
7498,21,0.0877706115664279,0.0877706115664279,2.411265631607762e-16,22.887722958,0.241314291,556132,556103,3
7498,31,0.0877706115664279,0.0877706115664279,2.3245294578089215e-16,92.065947458,0.247570292,1211852,1211823,3
7624,11,0.04971076031754898,0.049710245438229286,6.929066080167343e-5,5.591089792,0.134750625,152612,152583,3
7624,21,0.04971248744594872,0.04971248744594873,1.3183898417423734e-16,28.448586167,0.260685833,556132,556103,3
7624,31,0.049712487445948715,0.04971248744594872,1.8735013540549517e-16,103.270495666,0.249701834,1211852,1211823,3
7918,11,0.03686115168721301,0.036861151687213004,7.91033905045424e-16,5.839603792,0.531705875,152612,152583,6
7918,21,0.03722632328788089,0.0372263232878809,3.469446951953614e-16,29.372337334,0.615532834,556132,556103,6
7918,31,0.03714696308179992,0.037146875736486784,2.7354696195053263e-5,114.228212667,0.805298,1211852,1211823,6
