Date,Gross_Return_1N,TC_Drag_1N,Net_Return_1N,Cumulative_Net_Wealth_1N,Gross_Return_MinVar,TC_Drag_MinVar,Net_Return_MinVar,Cumulative_Net_Wealth_MinVar,Gross_Return_NominalCVaR,TC_Drag_NominalCVaR,Net_Return_NominalCVaR,Cumulative_Net_Wealth_NominalCVaR,Gross_Return_FiniteRegime,TC_Drag_FiniteRegime,Net_Return_FiniteRegime,Cumulative_Net_Wealth_FiniteRegime,Gross_Return_RobustSIP,TC_Drag_RobustSIP,Net_Return_RobustSIP,Cumulative_Net_Wealth_RobustSIP
2017-11-06,0.0066306089563674675,1.5090853554621666e-5,0.006615518102812846,10.500886428976603,-0.003754787899312384,9.096477617404107e-5,-0.003845752675486425,10.18133993394516,0.0023107375434552324,0.00012319861200140526,0.002187538931453827,10.795232875609214,0.005107270519617124,0.00013723239614095892,0.0049700381234761655,11.65190275453152,0.004850927190605647,4.1612107356344965e-5,0.004809315083249302,11.212989941340519
2017-12-06,0.03460670563184576,1.493716531486421e-5,0.03459176846653089,10.864130661021099,0.04852162350767664,6.378732854366236e-5,0.048457836179132976,10.67470563654834,0.051736449666639706,0.00011047680395979562,0.05162597286267991,11.352547275091727,0.0515687380265879,5.66146085184513e-5,0.05151212341806945,12.252117007278292,0.03628974661979334,2.7323300273058973e-5,0.03626242331952028,11.619600129270932
2018-01-08,0.05622081171466542,1.689760325770121e-5,0.05620391411140772,11.474737327588239,0.018877877974896817,7.961754030734378e-5,0.018798260434589473,10.875371533166756,0.017896820041621853,6.38204780997282e-5,0.017832999563522123,11.5549972456933,0.011968715328049218,0.00013499504382811914,0.011833720284221099,12.397105132831971,0.04531448492014456,0.00017979582963656313,0.045134689090507996,12.144047168461602
2018-02-07,-0.03453689012942973,1.7379359022858413e-5,-0.03455426948845259,11.078236161661547,-0.03687568401322494,0.00026329492997473087,-0.037138978943199674,10.471471338797002,-0.025756211014203112,6.555266175383997e-5,-0.02582176367595695,11.256626837538676,-0.03059954493614747,4.1343198630849175e-5,-0.030640888134778322,12.01724682126178,-0.024579285705507714,0.000152278968276669,-0.024731564673784383,11.843705880513307
2018-03-09,0.03422845921682538,1.6680177254550494e-5,0.03421177903957083,11.457242329372495,0.01996158203545617,0.0002457880107984686,0.0197157940246577,10.677924710847831,0.022546258670362196,5.443694356148613e-5,0.02249182172680071,11.509808881613715,0.019842406401198387,2.958326823900341e-5,0.019812823132959383,12.255342407076558,0.03829345851493082,4.083626922734087e-5,0.03825262224570348,12.2967586875498
2018-04-10,-0.034602330994958685,1.568887071576268e-5,-0.03461801986567445,11.060615286808432,-0.025480877638401678,3.629959253691041e-5,-0.02551717723093859,10.405454213542509,-0.027857597799510803,5.0636914828825474e-5,-0.02790823471433963,11.188590433828448,-0.024467506165579134,0.00022156977478575773,-0.02468907594036489,11.95276932771307,-0.03724115043738152,6.316532866281625e-5,-0.03730431576604434,11.838036518570595
2018-05-09,-0.0074141192785340815,1.198258288162346e-5,-0.007426101861415705,10.97847803103866,-0.02823814467652319,6.600572033312097e-5,-0.028304150396856312,10.1109366725348,-0.029440479206851222,0.0001312561673909322,-0.029571735374242153,10.857724398308497,-0.03402088275432613,0.0001950234194893718,-0.0342159061738155,11.54379449387878,-0.018565665949349053,6.890826021196826e-5,-0.018634574209561022,11.617439748569797
2018-06-08,0.040012027864858135,2.0332061051234927e-5,0.0399916958038069,11.417525984844735,0.030102076334243,0.00013071396556811634,0.029971362368674884,10.413975219434064,0.02802141804130942,0.00018497806491546553,0.027836439976393956,11.159964791802238,0.03119943429944816,0.00019203668556469893,0.03100739761388346,11.901737519723437,0.02854396869027065,8.617824460247788e-5,0.028457790445668173,11.948046414449774
2018-07-10,0.005186791209259134,1.1320841790712428e-5,0.005175470367468422,11.4766170522491,0.02128252470884262,0.0002266138380482848,0.021055910870794337,10.63325095346513,0.021024211322506536,0.00016710249661189793,0.02085710882589464,11.39272939195801,0.023105563992227518,6.473769421197907e-5,0.02304082629801554,12.175963386559959,0.015582549144725455,8.656172109390243e-6,0.015573892972616065,12.134124010540264
2018-08-08,0.0015522554452351844,1.4947111603846598e-5,0.0015373083336313379,11.494260151285419,0.01276321602395325,0.0002273796295276885,0.012535836394425562,10.766547647758637,0.01437977381405986,5.6011262057194395e-5,0.014323762552002666,11.55591614258764,0.010907113076523256,6.345000176953674e-5,0.010843663074753719,12.307995431134351,0.016920202574741472,1.5643609712352813e-5,0.01690455896502912,12.339246025365417
