Window_Idx,Train_Start,Train_End,Hold_Start,Hold_End,Grid_Size,Runtime,Active_States,Worst_CVaR
13,2009-10-06,2014-10-07,2014-10-08,2014-11-05,41,0.11976313591003418,2,4.702247220009571
13,2009-10-06,2014-10-07,2014-10-08,2014-11-05,21,0.0963141918182373,2,4.676982379686421
13,2009-10-06,2014-10-07,2014-10-08,2014-11-05,11,0.14220213890075684,3,4.0662088543036345
14,2011-06-07,2016-06-08,2016-06-09,2016-07-08,81,0.31157994270324707,2,4.7155
14,2011-06-07,2016-06-08,2016-06-09,2016-07-08,41,0.33385515213012695,2,4.7155
14,2011-06-07,2016-06-08,2016-06-09,2016-07-08,21,0.11488103866577148,2,4.7155
14,2011-06-07,2016-06-08,2016-06-09,2016-07-08,11,0.14835095405578613,2,4.387889347714211
15,2013-02-07,2018-02-07,2018-02-08,2018-03-09,81,0.5466370582580566,3,3.058543760989711
15,2013-02-07,2018-02-07,2018-02-08,2018-03-09,41,0.43837904930114746,3,3.0585451980796736
15,2013-02-07,2018-02-07,2018-02-08,2018-03-09,21,0.1537630558013916,3,3.058539832418354
15,2013-02-07,2018-02-07,2018-02-08,2018-03-09,11,0.13807010650634766,3,3.0585396979997324
16,2014-10-08,2019-10-09,2019-10-10,2019-11-07,81,0.5889041423797607,3,3.0536143950442907
16,2014-10-08,2019-10-09,2019-10-10,2019-11-07,41,0.21570801734924316,3,3.0536137601678353
16,2014-10-08,2019-10-09,2019-10-10,2019-11-07,21,0.16137099266052246,3,3.053613027357429
16,2014-10-08,2019-10-09,2019-10-10,2019-11-07,11,0.1427159309387207,3,3.0536130273574273
17,2016-06-09,2021-06-10,2021-06-11,2021-07-12,81,0.4635171890258789,2,8.738706428467742
17,2016-06-09,2021-06-10,2021-06-11,2021-07-12,41,0.15937304496765137,2,8.73870642846774
17,2016-06-09,2021-06-10,2021-06-11,2021-07-12,21,0.1327681541442871,2,8.73870642846774
17,2016-06-09,2021-06-10,2021-06-11,2021-07-12,11,0.0948939323425293,2,8.73870642846774
18,2018-01-09,2023-01-10,2023-01-11,2023-02-09,81,0.6188828945159912,3,8.686230181792089
18,2018-01-09,2023-01-10,2023-01-11,2023-02-09,41,0.22301793098449707,3,8.686230181792089
18,2018-01-09,2023-01-10,2023-01-11,2023-02-09,21,0.16702890396118164,3,8.686230181792089
18,2018-01-09,2023-01-10,2023-01-11,2023-02-09,11,0.09479594230651855,2,8.686230181792089
19,2019-09-11,2024-09-12,2024-09-13,2024-10-11,81,0.6072487831115723,3,8.623408236018808
19,2019-09-11,2024-09-12,2024-09-13,2024-10-11,41,0.22612214088439941,3,8.623408236018808
19,2019-09-11,2024-09-12,2024-09-13,2024-10-11,21,0.16367316246032715,3,8.623408236018806
19,2019-09-11,2024-09-12,2024-09-13,2024-10-11,11,0.08328413963317871,2,8.623408236018806
20,2021-05-12,2026-05-18,2026-05-19,2026-06-17,81,0.7943570613861084,4,3.761233937289996
20,2021-05-12,2026-05-18,2026-05-19,2026-06-17,41,0.3444211483001709,4,3.759793224729055
20,2021-05-12,2026-05-18,2026-05-19,2026-06-17,21,0.2601509094238281,4,3.7493722809453804
20,2021-05-12,2026-05-18,2026-05-19,2026-06-17,11,0.25118494033813477,4,3.6633007848231687
