Window,Date,Food,Beer,Smoke,Games,Books,Hshld,Clths,Hlth,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal,Oil,Util,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin,Other
213,2012-08-28,0.15,0.15,0.15,0.0,0.0,0.1011352533722202,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00909952606635049,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.13976522056142934
214,2012-09-27,0.15,0.15,0.15,0.0,0.0,0.1011352533722202,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00909952606635049,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.13976522056142934
215,2012-10-26,0.15,0.15,0.15,0.0,0.0,0.1011352533722202,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00909952606635049,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.13976522056142934
216,2012-11-29,0.15,0.15,0.15,0.0,0.0,0.1011352533722202,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00909952606635049,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.13976522056142934
217,2012-12-31,0.15,0.15,0.15,0.0,0.0,0.1011352533722202,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00909952606635049,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.13976522056142934
218,2013-01-31,0.15,0.15,0.15,0.0,0.0,0.1011352533722202,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00909952606635049,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.13976522056142934
219,2013-03-04,0.15,0.15,0.15,0.0,0.0,0.10113525337222004,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00909952606635041,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.13976522056142954
220,2013-04-03,0.15,0.15,0.15,0.0,0.0,0.10113525337222018,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009099526066350483,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.13976522056142934
221,2013-05-02,0.15,0.15,0.15,0.0,0.0,0.1011352533722202,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00909952606635049,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.13976522056142934
222,2013-06-03,0.15,0.15,0.15,0.0,0.0,0.1011352533722202,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00909952606635049,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.13976522056142934
223,2013-07-02,0.15,0.15,0.15,0.0,0.0,0.10113525337222018,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00909952606635049,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.13976522056142934
224,2013-08-01,0.15,0.15,0.15,0.0,0.0,0.1011352533722201,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009099526066350437,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.13976522056142945
225,2013-08-30,0.15,0.15,0.15,0.0,0.0,0.1011352533722202,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009099526066350484,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.13976522056142932
226,2013-10-01,0.15,0.15,0.15,0.0,0.0,0.10304127566926961,0.0,0.15,0.0,0.06028352643299202,0.0,0.0,0.0,0.0,0.0,0.04200374076079838,0.0,0.0,0.0,0.0,0.0,0.044671457136939985,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0
227,2013-10-30,0.0,0.15,0.15,0.022480115690528074,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0775198843094719,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.0
228,2013-11-29,0.06610754570206136,0.15,0.15,0.0,0.0,0.0,0.0,0.15,0.0,0.03389245429793862,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.0
229,2013-12-31,0.06353409129707387,0.15,0.15,0.03646590870292611,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.15,0.0,0.0
230,2014-01-31,0.0,0.15,0.15,0.0,0.0,0.15,0.0,0.12075521381925412,0.0,0.12924478618074586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.15,0.0,0.0
