Window,GridDim,Dense_Obj,Adaptive_Obj,Weights_L1_Diff,Dense_Time,Adaptive_Time,Dense_Vars,Dense_Constrs,Adaptive_Master_Blocks
2080,21,0.033680888586937116,0.03368073859748549,0.0002576514859903411,42.593911958,0.948549083,556132,556103,6
2080,31,0.03367192494207036,0.03367038790343751,0.00042090906395891685,200.172813875,0.790878083,1211852,1211823,6
2500,11,0.030352145575670866,0.03035214557567085,9.853229343548264e-16,11.115798292,0.7397025,152612,152583,6
2500,21,0.030356581229453256,0.030344770729374602,0.005953906889226007,49.599700834,0.65124825,556132,556103,6
2500,31,0.030355385873311696,0.030335084560272126,0.006041832544808362,211.583065042,2.765530167,1211852,1211823,6
2920,11,0.028542129424339816,0.028542129357309622,1.2544208775021326e-8,8.387083875,0.742074125,152612,152583,6
2920,21,0.028619011302468376,0.028618876211218457,8.317225497540826e-5,40.636749042,0.459742083,556132,556103,5
2920,31,0.028619543028831712,0.028618970926992483,0.00011472729454673272,167.447475166,0.542795292,1211852,1211823,5
3340,11,0.023175822414450906,0.023175822414450906,6.242836109171535e-16,9.045709333,0.487490125,152612,152583,4
3340,21,0.02584533496104521,0.025845334961045217,0.0,41.7616405,0.188459416,556132,556103,2
3340,31,0.025861088994835853,0.025861088994835857,0.0,250.6317665,0.232280875,1211852,1211823,2
3487,11,0.061197966772787445,0.061197966772787445,1.734723475976807e-18,6.595004583,0.088465833,152612,152583,2
3487,21,0.061197966772787445,0.061197966772787445,1.734723475976807e-18,20.508841875,0.137309333,556132,556103,2
3487,31,0.061197966772787445,0.061197966772787445,1.734723475976807e-18,59.17825275,0.211671084,1211852,1211823,2
3508,11,0.06144166251958491,0.06144166251958491,4.163336342344337e-17,4.785977042,0.061263333,152612,152583,2
3508,21,0.06144166251958491,0.06144166251958491,9.020562075079397e-17,18.532613584,0.145425583,556132,556103,2
3508,31,0.06144166251958491,0.06144166251958492,2.2898349882893854e-16,66.749845542,0.225758541,1211852,1211823,3
3529,11,0.06265782887349616,0.06265782887349616,0.0,4.562039542,0.309628416,152612,152583,3
3529,21,0.06265782887349616,0.06265782887349616,2.7755575615628914e-17,21.018495333,0.193893459,556132,556103,3
3529,31,0.06265782887349616,0.06265782887349618,2.7755575615628914e-17,77.708541833,0.337087959,1211852,1211823,4
3550,11,0.06265782887349618,0.06265782887349618,4.683753385137379e-17,4.702758083,0.115343458,152612,152583,3
3550,21,0.06265782887349616,0.06265782887349616,0.0,20.771079458,0.198335625,556132,556103,3
3550,31,0.06265782887349618,0.06265782887349618,5.672545766444159e-16,70.447179375,0.384271583,1211852,1211823,4
3571,11,0.06265782887349616,0.06265782887349616,0.0,5.278532958,0.146906125,152612,152583,3
3571,21,0.06265782887349616,0.06265782887349616,4.163336342344337e-17,20.50286025,0.171934167,556132,556103,3
3571,31,0.06265782887349616,0.06265782887349616,1.3704315460216776e-16,64.390679292,1.272398833,1211852,1211823,4
3592,11,0.06265782887349616,0.06265782887349616,2.949029909160572e-17,3.739549125,0.123811667,152612,152583,3
3592,21,0.06265782887349616,0.06265782887349616,1.5612511283791264e-17,20.420821,0.366133208,556132,556103,3
3592,31,0.06265782887349616,0.06265782887349616,8.326672684688674e-17,71.12782075,0.331846875,1211852,1211823,4
3760,11,0.06265782887349616,0.06265782887349616,0.0,5.667035083,0.151474459,152612,152583,3
3760,21,0.06265782887349616,0.06265782887349618,8.031769693772617e-16,29.200362584,0.279619,556132,556103,4
3760,31,0.06265782887349616,0.06265782887349616,3.382710778154774e-16,107.329004208,0.206834042,1211852,1211823,3
3907,11,0.06265782887349616,0.06265782887349616,2.896988204881268e-16,5.092385167,0.135550291,152612,152583,3
3907,21,0.06265782887349616,0.06265782887349616,3.2959746043559335e-17,28.783189708,0.176149708,556132,556103,3
3907,31,0.06265782887349616,0.06265782887349616,9.419548474554063e-16,109.012643125,0.305178625,1211852,1211823,3
4159,11,0.06265782887349616,0.06265782887349616,1.474514954580286e-16,4.674449125,0.154011416,152612,152583,3
4159,21,0.06265782887349616,0.06265782887349616,7.060324547225605e-16,23.391791667,0.266888666,556132,556103,4
4159,31,0.06265782887349616,0.06265782887349616,1.474514954580286e-16,94.074969125,0.473307125,1211852,1211823,4
4201,11,0.06265782887349616,0.06265782887349616,4.85722573273506e-17,8.404997459,0.264796125,152612,152583,3
4201,21,0.06265782887349616,0.06265782887349616,6.29704621779581e-16,27.146263958,0.214672917,556132,556103,3
4201,31,0.06265782887349616,0.06265782887349616,3.469446951953614e-18,93.972001041,0.737590959,1211852,1211823,3
4222,11,0.06265782887349616,0.06265782887349616,1.0755285551056204e-16,4.990841334,0.149591375,152612,152583,3
4222,21,0.06265782887349616,0.06265782887349618,1.682681771697503e-16,25.498677083,0.300337334,556132,556103,3
4222,31,0.06265782887349616,0.06265782887349618,7.927686285214008e-16,97.020399875,0.275734875,1211852,1211823,3
4579,11,0.06265782887349616,0.06265782887349616,0.0,5.31867825,0.15645075,152612,152583,3
4579,21,0.06265782887349616,0.06265782887349616,6.47051856539349e-16,20.518149,0.266763833,556132,556103,3
4579,31,0.06265782887349616,0.06265782887349618,1.64625257870199e-15,78.009997,0.253830583,1211852,1211823,3
4999,11,0.047154999999999996,0.047154999999999996,0.0,4.865844167,0.077281625,152612,152583,2
4999,21,0.047154999999999996,0.047154999999999996,0.0,19.388271,0.109703334,556132,556103,2
4999,31,0.047154999999999996,0.047154999999999996,0.0,65.616188084,0.164883,1211852,1211823,2
5419,11,0.047154999999999996,0.047154999999999996,0.0,4.444335166,0.073330084,152612,152583,2
5419,21,0.047154999999999996,0.047154999999999996,0.0,19.506608625,0.130408417,556132,556103,2
5419,31,0.047154999999999996,0.047154999999999996,0.0,66.684477625,0.166725042,1211852,1211823,2
5839,11,0.03289760267826295,0.03289760267826295,1.3010426069826053e-16,4.862693416,0.149250084,152612,152583,3
5839,21,0.03289760267826295,0.03289760267826295,0.0,19.755110583,0.172790458,556132,556103,3
5839,31,0.03289760267826295,0.03289760267826295,1.3010426069826053e-16,86.205363625,0.282796791,1211852,1211823,3
6049,11,0.032856289773568144,0.03285628977356815,2.42861286636753e-17,4.597667042,0.125934583,152612,152583,3
6049,21,0.03285628977356815,0.03285628977356815,1.1102230246251565e-16,18.080607375,0.265633459,556132,556103,3
6049,31,0.032856289773568144,0.03285628977356815,2.949029909160572e-16,63.281283167,1.170378208,1211852,1211823,3
6259,11,0.03285628977356815,0.03285628977356815,1.700029006457271e-16,3.314924958,0.150204042,152612,152583,3
6259,21,0.03285628977356815,0.03285628977356815,1.700029006457271e-16,17.139114375,0.172636625,556132,556103,3
6259,31,0.032856289773568144,0.03285628977356815,1.7694179454963432e-16,59.770273792,0.531370333,1211852,1211823,3
6364,11,0.08616066570188134,0.08616066570188134,1.3877787807814457e-17,4.573156292,0.166864709,152612,152583,3
6364,21,0.08616066570188134,0.08616066570188134,1.3877787807814457e-17,14.046383417,0.180674458,556132,556103,3
6364,31,0.08616066570188134,0.08616066570188134,1.3877787807814457e-17,43.455889125,0.591721709,1211852,1211823,3
6385,11,0.08616066570188131,0.08616066570188133,0.0,4.450326833,0.126883167,152612,152583,3
6385,21,0.08616066570188134,0.08616066570188134,0.0,16.231586792,0.09453475,556132,556103,2
6385,31,0.08616066570188134,0.08616066570188134,0.0,43.303182,0.258112083,1211852,1211823,3
6511,11,0.0862303630923156,0.0862303630923156,7.28583859910259e-17,4.267385292,0.149106416,152612,152583,3
6511,21,0.0862303630923156,0.0862303630923156,5.551115123125783e-17,18.590024667,0.172323417,556132,556103,3
6511,31,0.0862303630923156,0.0862303630923156,7.28583859910259e-17,57.299418875,0.219895375,1211852,1211823,3
